brand,title,price,final_resale_price,n_likes,limited,model,condition,m_model,material,color,sold_out,description,mean_retail_price
Louis Vuitton,Speedy Bandoulière leather crossbody bag,2947.82,2947.82,41.0,1,speedy,"Never worn, with tag",Speedy Bandoulière,Leather,Other,1.0,,1790.0
Louis Vuitton,Speedy cloth crossbody bag,2144.52,1653.07,25.0,1,speedy,Never worn,Speedy,Cloth,Brown,1.0,,1790.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,676.26,676.26,12.0,1,pochette,Never worn,Pochette Accessoire,Cloth,Brown,1.0,,660.0
Louis Vuitton,Alma patent leather handbag,2053.38,2026.57,16.0,1,alma,Never worn,Alma,Patent leather,Orange,1.0,,1810.0
Louis Vuitton,Speedy cloth handbag,1965.81,1732.59,88.0,1,speedy,Very good condition,Speedy,Cloth,Orange,1.0,,1790.0
Louis Vuitton,Speedy cloth handbag,1322.45,1072.26,12.0,1,speedy,Good condition,Speedy,Cloth,Multicolour,1.0,,1790.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,938.23,699.65,29.0,1,pochette,Never worn,Pochette Accessoire,Cloth,Multicolour,1.0,,660.0
Louis Vuitton,Speedy cloth crossbody bag,2591.3,1653.07,34.0,1,speedy,Very good condition,Speedy,Cloth,Khaki,1.0,,1790.0
Louis Vuitton,Neverfull cloth handbag,1742.42,1519.04,43.0,1,neverfull,Good condition,Neverfull,Cloth,Brown,1.0,,1070.0
Louis Vuitton,Keepall cloth bag,1787.1,1340.33,37.0,1,keepall,Very good condition,Keepall,Cloth,Multicolour,1.0,,1850.0
Louis Vuitton,Neverfull cloth tote,2314.29,2314.29,12.0,1,neverfull,Never worn,Neverfull,Cloth,Brown,1.0,,1510.0
Louis Vuitton,Pochette Accessoire leather clutch bag,1876.46,1072.26,58.0,1,pochette,Very good condition,Pochette Accessoire,Leather,Brown,1.0,,660.0
Louis Vuitton,Neverfull cloth tote,3384.77,2591.3,42.0,1,neverfull,Never worn,Neverfull,Cloth,White,1.0,,1510.0
Louis Vuitton,Neverfull cloth tote,2244.41,2244.41,24.0,1,neverfull,"Never worn, with tag",Neverfull,Cloth,Blue,1.0,,1510.0
Louis Vuitton,Neverfull cloth tote,2233.88,2233.88,66.0,1,neverfull,Very good condition,Neverfull,Cloth,Green,1.0,,1510.0
Louis Vuitton,Speedy leather handbag,6017.18,6017.18,9.0,1,speedy,Very good condition,Speedy,Leather,Multicolour,1.0,,1790.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,931.09,931.09,59.0,1,pochette,Never worn,Pochette Accessoire,Cloth,Multicolour,1.0,,660.0
Louis Vuitton,Speedy patent leather handbag,2680.65,2680.65,43.0,1,speedy,Very good condition,Speedy,Patent leather,Gold,1.0,,1790.0
Louis Vuitton,Speedy cloth handbag,1697.75,1697.75,76.0,1,speedy,Very good condition,Speedy,Cloth,Multicolour,1.0,,1790.0
Louis Vuitton,Keepall cloth bag,1206.29,1161.62,61.0,1,keepall,Very good condition,Keepall,Cloth,Orange,1.0,,1850.0
Louis Vuitton,Alma patent leather crossbody bag,1876.46,1876.46,2.0,1,alma,Never worn,Alma,Patent leather,Black,1.0,,1810.0
Louis Vuitton,Speedy leather handbag,982.91,670.16,7.0,1,speedy,Good condition,Speedy,Leather,Blue,1.0,,1790.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,500.39,393.16,15.0,1,pochette,Very good condition,Pochette Accessoire,Cloth,Brown,1.0,,660.0
Louis Vuitton,Speedy cloth handbag,1242.03,1242.03,4.0,1,speedy,Good condition,Speedy,Cloth,White,1.0,,1790.0
Louis Vuitton,Neverfull cloth handbag,893.55,658.55,9.0,1,neverfull,Never worn,Neverfull,Cloth,Other,1.0,,1070.0
Louis Vuitton,Neverfull leather tote,1474.36,1429.68,20.0,1,neverfull,Good condition,Neverfull,Leather,Multicolour,1.0,,1070.0
Louis Vuitton,Pochette Accessoire leather mini bag,1697.75,1697.75,3.0,1,pochette,Very good condition,Pochette Accessoire,Leather,Brown,1.0,,660.0
Louis Vuitton,Alma cloth handbag,1510.1,1510.1,7.0,1,alma,Very good condition,Alma,Cloth,Multicolour,1.0,,1810.0
Louis Vuitton,Speedy Bandoulière cloth handbag,1340.33,1340.33,27.0,1,speedy,Very good condition,Speedy Bandoulière,Cloth,Other,1.0,,1790.0
Louis Vuitton,Neverfull cloth tote,1787.1,1742.42,16.0,1,neverfull,Never worn,Neverfull,Cloth,Brown,1.0,,1070.0
Louis Vuitton,Speedy cloth handbag,1340.33,1161.62,20.0,1,speedy,Very good condition,Speedy,Cloth,Brown,1.0,,1790.0
Louis Vuitton,Neverfull cloth tote,2126.65,2126.65,44.0,1,neverfull,Very good condition,Neverfull,Cloth,Multicolour,1.0,,1510.0
Louis Vuitton,Neverfull cloth tote,3576.49,3576.49,46.0,1,neverfull,Never worn,Neverfull,Cloth,Red,1.0,,1510.0
